id_municipio;SUM de populacao_residente;;;;;;;;;;;;;;;;;;;;;;;;
1713304;12697;;;;;;;;;;;;;;;;;;;;;;;;
1713601;5693;;;;;;;;;;;;;;;;;;;;;;;;
1713700;2396;;;;;;;;;;;;;;;;;;;;;;;;
1713809;4871;;;;;;;;;;;;;;;;;;;;;;;;
1713957;3367;;;;;;;;;;;;;;;;;;;;;;;;
1714203;8751;;;;;;;;;;;;;;;;;;;;;;;;
1714302;4520;;;;;;;;;;;;;;;;;;;;;;;;
1714880;10365;;;;;;;;;;;;;;;;;;;;;;;;
1715002;3360;;;;;;;;;;;;;;;;;;;;;;;;
1715101;3968;;;;;;;;;;;;;;;;;;;;;;;;
1715150;1846;;;;;;;;;;;;;;;;;;;;;;;;
1715259;2229;;;;;;;;;;;;;;;;;;;;;;;;
1715507;1163;;;;;;;;;;;;;;;;;;;;;;;;
1715705;4797;;;;;;;;;;;;;;;;;;;;;;;;
1715754;6971;;;;;;;;;;;;;;;;;;;;;;;;
1716109;52353;;;;;;;;;;;;;;;;;;;;;;;;
1716208;10533;;;;;;;;;;;;;;;;;;;;;;;;
1716307;4043;;;;;;;;;;;;;;;;;;;;;;;;
1716505;14049;;;;;;;;;;;;;;;;;;;;;;;;
1716604;9314;;;;;;;;;;;;;;;;;;;;;;;;
1716653;4918;;;;;;;;;;;;;;;;;;;;;;;;
1716703;8940;;;;;;;;;;;;;;;;;;;;;;;;
1717008;4476;;;;;;;;;;;;;;;;;;;;;;;;
1717206;2282;;;;;;;;;;;;;;;;;;;;;;;;
1717503;7125;;;;;;;;;;;;;;;;;;;;;;;;
1717800;4217;;;;;;;;;;;;;;;;;;;;;;;;
1717909;7585;;;;;;;;;;;;;;;;;;;;;;;;
1718006;2866;;;;;;;;;;;;;;;;;;;;;;;;
1718204;64405;;;;;;;;;;;;;;;;;;;;;;;;
1718303;9044;;;;;;;;;;;;;;;;;;;;;;;;
1718402;3045;;;;;;;;;;;;;;;;;;;;;;;;
1718451;2191;;;;;;;;;;;;;;;;;;;;;;;;
1718501;3419;;;;;;;;;;;;;;;;;;;;;;;;
1718550;3959;;;;;;;;;;;;;;;;;;;;;;;;
1718659;1768;;;;;;;;;;;;;;;;;;;;;;;;
1718709;2734;;;;;;;;;;;;;;;;;;;;;;;;
1718758;4840;;;;;;;;;;;;;;;;;;;;;;;;
1718808;4214;;;;;;;;;;;;;;;;;;;;;;;;
1718840;3722;;;;;;;;;;;;;;;;;;;;;;;;
1718865;7215;;;;;;;;;;;;;;;;;;;;;;;;
1718881;2679;;;;;;;;;;;;;;;;;;;;;;;;
1718899;2219;;;;;;;;;;;;;;;;;;;;;;;;
1718907;4653;;;;;;;;;;;;;;;;;;;;;;;;
1719004;2779;;;;;;;;;;;;;;;;;;;;;;;;
1720002;2405;;;;;;;;;;;;;;;;;;;;;;;;
1720101;5654;;;;;;;;;;;;;;;;;;;;;;;;
1720150;1783;;;;;;;;;;;;;;;;;;;;;;;;
1720200;13239;;;;;;;;;;;;;;;;;;;;;;;;
1720259;2383;;;;;;;;;;;;;;;;;;;;;;;;
1720309;4099;;;;;;;;;;;;;;;;;;;;;;;;
1720499;4421;;;;;;;;;;;;;;;;;;;;;;;;
1720655;5106;;;;;;;;;;;;;;;;;;;;;;;;
1720804;10828;;;;;;;;;;;;;;;;;;;;;;;;
1720853;1577;;;;;;;;;;;;;;;;;;;;;;;;
1720903;14003;;;;;;;;;;;;;;;;;;;;;;;;
1720937;2020;;;;;;;;;;;;;;;;;;;;;;;;
1720978;2455;;;;;;;;;;;;;;;;;;;;;;;;
1721000;302666;;;;;;;;;;;;;;;;;;;;;;;;
1721109;7457;;;;;;;;;;;;;;;;;;;;;;;;
1721208;22610;;;;;;;;;;;;;;;;;;;;;;;;
