Sexo,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais,Total,tipologia,ano,estado
Feminino,16871.0,16319.0,16541.0,18091.0,19821.0,19989.0,19233.0,18110.0,16411.0,15154.0,14537.0,12910.0,11090.0,9386.0,7497.0,5916.0,8136.0,246012.0,IA,2018,MG
Masculino,2047.0,2032.0,1818.0,1754.0,1922.0,1991.0,1918.0,1820.0,1727.0,1545.0,1549.0,1450.0,1189.0,956.0,770.0,582.0,775.0,25845.0,IR,2021,MG
Feminino,1951.0,1918.0,1673.0,1720.0,1859.0,1983.0,1819.0,1748.0,1646.0,1541.0,1508.0,1375.0,1171.0,972.0,816.0,654.0,955.0,25309.0,IR,2021,MG
Masculino,2078.0,2032.0,2004.0,2070.0,2095.0,1998.0,1871.0,1779.0,1638.0,1527.0,1518.0,1330.0,1087.0,898.0,726.0,553.0,693.0,25897.0,IR,2018,MG
Feminino,1991.0,1906.0,1908.0,1992.0,2033.0,1942.0,1790.0,1724.0,1596.0,1516.0,1461.0,1294.0,1088.0,919.0,777.0,611.0,863.0,25411.0,IR,2018,MG
Masculino,55651.0,53270.0,53270.0,56499.0,60219.0,60372.0,56736.0,52405.0,46010.0,41472.0,39954.0,35662.0,29091.0,23148.0,17828.0,13073.0,15713.0,710373.0,RA,2018,MG
Feminino,53075.0,50043.0,49214.0,53211.0,58774.0,58140.0,53347.0,49514.0,44068.0,40632.0,38783.0,33671.0,28797.0,24342.0,18890.0,14752.0,19633.0,688886.0,RA,2018,MG
Masculino,55177.0,54121.0,48448.0,49022.0,54541.0,60228.0,58624.0,55145.0,49602.0,43216.0,40806.0,38175.0,31697.0,25137.0,19272.0,13975.0,17623.0,714809.0,RA,2021,MG
Feminino,52636.0,51000.0,44666.0,45515.0,53076.0,58964.0,55149.0,51638.0,47074.0,41963.0,40042.0,35856.0,29965.0,26206.0,20361.0,15514.0,21927.0,691552.0,RA,2021,MG
Masculino,55651.0,53270.0,53270.0,56499.0,60219.0,60372.0,56736.0,52405.0,46010.0,41472.0,39954.0,35662.0,29091.0,23148.0,17828.0,13073.0,15713.0,710373.0,RA,2018,MG
Feminino,53075.0,50043.0,49214.0,53211.0,58774.0,58140.0,53347.0,49514.0,44068.0,40632.0,38783.0,33671.0,28797.0,24342.0,18890.0,14752.0,19633.0,688886.0,RA,2018,MG
Masculino,55177.0,54121.0,48448.0,49022.0,54541.0,60228.0,58624.0,55145.0,49602.0,43216.0,40806.0,38175.0,31697.0,25137.0,19272.0,13975.0,17623.0,714809.0,RA,2021,MG
Feminino,52636.0,51000.0,44666.0,45515.0,53076.0,58964.0,55149.0,51638.0,47074.0,41963.0,40042.0,35856.0,29965.0,26206.0,20361.0,15514.0,21927.0,691552.0,RA,2021,MG
Masculino,50990.0,49683.0,51535.0,55948.0,58887.0,58949.0,58592.0,54664.0,47311.0,41516.0,38649.0,33376.0,27041.0,20802.0,15190.0,10472.0,11952.0,685557.0,U,2018,MG
Feminino,48635.0,48019.0,50907.0,55389.0,58930.0,60103.0,60370.0,57227.0,50764.0,45039.0,42196.0,37309.0,31020.0,24730.0,18691.0,13753.0,18044.0,721126.0,U,2018,MG
Masculino,50837.0,50420.0,48767.0,51346.0,56291.0,57970.0,58919.0,57078.0,51464.0,43327.0,39788.0,35659.0,29739.0,23287.0,17095.0,11685.0,13625.0,697297.0,U,2021,MG
Feminino,48490.0,48555.0,48268.0,51214.0,55697.0,58374.0,60136.0,58976.0,54449.0,47070.0,43491.0,39704.0,33946.0,27665.0,21084.0,15165.0,20523.0,732807.0,U,2021,MG
Masculino,17510.0,17376.0,18985.0,17908.0,16895.0,14703.0,13930.0,12470.0,10294.0,8469.0,7346.0,6168.0,5058.0,4204.0,3276.0,2331.0,2646.0,179569.0,RA,2018,MA
Feminino,16750.0,16473.0,17783.0,17186.0,16995.0,15267.0,14375.0,12606.0,10046.0,8164.0,7221.0,6077.0,5248.0,4477.0,3371.0,2504.0,3257.0,177800.0,RA,2018,MA
Masculino,17671.0,16922.0,17431.0,17667.0,16836.0,15067.0,14005.0,13209.0,11448.0,9272.0,7851.0,6671.0,5327.0,4329.0,3366.0,2445.0,2802.0,182319.0,RA,2021,MA
Feminino,16884.0,16025.0,16235.0,16758.0,16954.0,15794.0,14793.0,13769.0,11532.0,8981.0,7655.0,6461.0,5372.0,4704.0,3673.0,2614.0,3622.0,181826.0,RA,2021,MA
Masculino,13655.0,14332.0,16952.0,16960.0,16206.0,14144.0,14040.0,12948.0,10761.0,8798.0,7676.0,6363.0,5167.0,3981.0,2871.0,1955.0,2365.0,169174.0,U,2018,MA
Feminino,13095.0,13892.0,16542.0,16350.0,15865.0,14976.0,15205.0,14273.0,12193.0,10088.0,9094.0,7780.0,6437.0,5184.0,3897.0,2918.0,3948.0,181737.0,U,2018,MA
Masculino,13551.0,13629.0,15452.0,16928.0,16505.0,14262.0,13691.0,13409.0,11978.0,9538.0,8195.0,6836.0,5611.0,4262.0,3140.0,2025.0,2486.0,171498.0,U,2021,MA
Feminino,12978.0,13128.0,15043.0,16469.0,15871.0,14737.0,14994.0,14822.0,13569.0,10941.0,9550.0,8416.0,6953.0,5699.0,4286.0,3138.0,4410.0,185004.0,U,2021,MA
Masculino,13080.0,12662.0,14147.0,14567.0,14542.0,14183.0,13780.0,12997.0,11606.0,10389.0,9771.0,8095.0,6197.0,5315.0,4314.0,3125.0,3835.0,172605.0,IA,2018,PB
Feminino,12449.0,12010.0,13409.0,14129.0,14447.0,14385.0,14246.0,13681.0,12394.0,11074.0,10386.0,8956.0,7335.0,6490.0,5468.0,4245.0,5590.0,180694.0,IA,2018,PB
Masculino,12972.0,12489.0,13119.0,13630.0,13837.0,13950.0,13805.0,13405.0,12444.0,10806.0,10072.0,9078.0,6894.0,5485.0,4557.0,3276.0,4056.0,173875.0,IA,2021,PB
Feminino,12345.0,11861.0,12323.0,13063.0,13754.0,14113.0,14207.0,14026.0,13267.0,11620.0,10743.0,9788.0,7956.0,6650.0,5796.0,4386.0,6086.0,181984.0,IA,2021,PB
Masculino,43098.0,41370.0,45811.0,47020.0,47080.0,45813.0,42955.0,39866.0,36243.0,32657.0,30183.0,25234.0,19772.0,17446.0,14499.0,10550.0,12676.0,552273.0,RA,2018,PB
Feminino,41021.0,38788.0,42557.0,44856.0,46191.0,45780.0,43602.0,40690.0,36881.0,33617.0,31297.0,26474.0,22216.0,20067.0,17024.0,13108.0,16521.0,560690.0,RA,2018,PB
Masculino,42882.0,41065.0,42130.0,43620.0,44296.0,45447.0,43839.0,41277.0,38511.0,34385.0,31605.0,28180.0,21774.0,17673.0,15268.0,11015.0,13588.0,556555.0,RA,2021,PB
Feminino,40821.0,38606.0,38746.0,41016.0,43585.0,45477.0,44557.0,42371.0,39362.0,35036.0,32886.0,28904.0,23669.0,20304.0,17977.0,13623.0,18200.0,565140.0,RA,2021,PB
Masculino,37542.0,36605.0,42448.0,45589.0,45099.0,42489.0,41973.0,40073.0,35238.0,30817.0,27850.0,22630.0,17346.0,14352.0,11092.0,7660.0,8976.0,507779.0,U,2018,PB
Feminino,35715.0,34698.0,40576.0,44524.0,45045.0,44821.0,45599.0,43769.0,39511.0,35401.0,32720.0,27528.0,22237.0,19105.0,15446.0,11508.0,14670.0,552873.0,U,2018,PB
Masculino,37350.0,36035.0,39735.0,43837.0,44847.0,42128.0,41068.0,40910.0,37679.0,32186.0,28890.0,25024.0,19275.0,15050.0,12099.0,8126.0,9570.0,513809.0,U,2021,PB
Feminino,35534.0,34334.0,37715.0,42493.0,44331.0,43555.0,44848.0,44681.0,41977.0,36795.0,34038.0,30358.0,24411.0,19922.0,16841.0,12085.0,16101.0,560019.0,U,2021,PB
Masculino,42409.0,42208.0,42712.0,44679.0,43882.0,40497.0,39217.0,35358.0,30918.0,27003.0,23860.0,19756.0,15631.0,12843.0,10301.0,7191.0,8152.0,486617.0,IA,2018,PE
Feminino,40481.0,40408.0,41042.0,43016.0,43472.0,41687.0,40539.0,37048.0,32781.0,29035.0,26142.0,21408.0,17572.0,15029.0,12229.0,9094.0,11073.0,502056.0,IA,2018,PE
Masculino,41905.0,42124.0,40866.0,41625.0,43668.0,40618.0,39764.0,37242.0,33264.0,28758.0,25610.0,21901.0,17345.0,13483.0,10969.0,7722.0,8915.0,495779.0,IA,2021,PE
Feminino,39965.0,40062.0,38987.0,39821.0,42740.0,41575.0,41280.0,38789.0,35363.0,30676.0,28025.0,23654.0,18896.0,15660.0,13038.0,9706.0,12415.0,510652.0,IA,2021,PE
Masculino,228.0,224.0,245.0,257.0,223.0,189.0,184.0,164.0,148.0,129.0,122.0,95.0,67.0,47.0,34.0,25.0,28.0,2409.0,IR,2018,PE
Feminino,218.0,217.0,229.0,225.0,194.0,190.0,202.0,183.0,163.0,123.0,119.0,102.0,72.0,73.0,60.0,42.0,48.0,2460.0,IR,2018,PE
Masculino,227.0,224.0,230.0,261.0,253.0,184.0,183.0,172.0,162.0,136.0,127.0,106.0,80.0,53.0,40.0,23.0,33.0,2494.0,IR,2021,PE
Feminino,217.0,211.0,222.0,225.0,207.0,173.0,198.0,185.0,181.0,139.0,117.0,120.0,81.0,72.0,69.0,45.0,57.0,2519.0,IR,2021,PE
Masculino,60168.0,60354.0,60312.0,61192.0,60502.0,56658.0,53533.0,48357.0,42482.0,37390.0,34310.0,28595.0,22965.0,19777.0,16267.0,11260.0,13068.0,687190.0,RA,2018,PE
Feminino,57464.0,56765.0,56356.0,58455.0,59174.0,56903.0,54671.0,49483.0,43969.0,39496.0,36125.0,30023.0,25123.0,22140.0,18289.0,13771.0,17265.0,695472.0,RA,2018,PE
Masculino,59138.0,59675.0,57367.0,56410.0,58526.0,56818.0,54700.0,50584.0,45797.0,39402.0,36514.0,31890.0,25209.0,20297.0,17288.0,12222.0,14223.0,696060.0,RA,2021,PE
Feminino,56431.0,56301.0,52943.0,53074.0,57180.0,56463.0,55986.0,52004.0,47230.0,41521.0,38384.0,32886.0,26518.0,22657.0,19308.0,14529.0,19145.0,702560.0,RA,2021,PE
Masculino,89471.0,91561.0,96549.0,102703.0,102225.0,94826.0,92555.0,85368.0,75255.0,64083.0,54825.0,44217.0,33849.0,26869.0,20739.0,14029.0,15439.0,1104563.0,U,2018,PE
Feminino,85415.0,88052.0,93532.0,99939.0,101969.0,99666.0,99710.0,93962.0,84493.0,74083.0,65503.0,53678.0,42743.0,35250.0,27880.0,20320.0,24890.0,1191085.0,U,2018,PE
Masculino,88672.0,90970.0,94336.0,99504.0,104190.0,96084.0,93132.0,88485.0,80675.0,68743.0,58847.0,49079.0,37924.0,28605.0,22473.0,15152.0,16903.0,1133774.0,U,2021,PE
Feminino,84615.0,87390.0,91184.0,96321.0,102043.0,99002.0,99918.0,96854.0,90125.0,78641.0,70178.0,59802.0,47113.0,37528.0,30307.0,21877.0,27883.0,1220781.0,U,2021,PE
Masculino,13101.0,13184.0,14435.0,15524.0,15083.0,13558.0,12894.0,12088.0,10604.0,9168.0,8345.0,7062.0,5815.0,4749.0,3709.0,2574.0,2666.0,164559.0,IA,2018,PI
Feminino,12508.0,12713.0,14187.0,15385.0,14863.0,14202.0,14053.0,12938.0,11394.0,9848.0,9133.0,8055.0,6810.0,5530.0,4187.0,3098.0,3778.0,172682.0,IA,2018,PI
Masculino,13044.0,12834.0,13320.0,14324.0,14894.0,13703.0,12776.0,12309.0,11429.0,9669.0,8759.0,7595.0,6253.0,4998.0,3890.0,2719.0,2773.0,165289.0,IA,2021,PI
Feminino,12451.0,12387.0,12956.0,14239.0,14787.0,13857.0,14087.0,13357.0,12343.0,10483.0,9542.0,8606.0,7334.0,5988.0,4613.0,3243.0,4121.0,174394.0,IA,2021,PI
Masculino,2078.0,1997.0,2169.0,2416.0,2278.0,1963.0,1958.0,1840.0,1466.0,1244.0,1156.0,942.0,724.0,562.0,420.0,280.0,296.0,23789.0,IR,2018,PI
Feminino,1985.0,2000.0,2243.0,2410.0,2299.0,2117.0,1997.0,1801.0,1483.0,1210.0,1122.0,974.0,765.0,640.0,462.0,326.0,409.0,24243.0,IR,2018,PI
Masculino,2104.0,1986.0,1983.0,2245.0,2346.0,1995.0,1870.0,1901.0,1629.0,1283.0,1195.0,1009.0,788.0,587.0,449.0,288.0,301.0,23959.0,IR,2021,PI
Feminino,2009.0,1956.0,2052.0,2286.0,2325.0,2146.0,2008.0,1892.0,1656.0,1309.0,1125.0,1044.0,802.0,670.0,512.0,336.0,430.0,24558.0,IR,2021,PI
Masculino,46454.0,46299.0,50743.0,55053.0,52556.0,46681.0,44261.0,41844.0,37750.0,33354.0,31276.0,26294.0,21075.0,17486.0,13752.0,9554.0,9754.0,584186.0,RA,2018,PI
Feminino,44355.0,43824.0,47424.0,51953.0,51178.0,47522.0,45477.0,43076.0,38743.0,33595.0,31484.0,27442.0,23389.0,19663.0,15038.0,11171.0,13043.0,588377.0,RA,2018,PI
Masculino,46353.0,45413.0,46033.0,50158.0,52004.0,47060.0,44035.0,42289.0,40420.0,34959.0,32575.0,28671.0,22696.0,18107.0,14383.0,9977.0,10191.0,585324.0,RA,2021,PI
Feminino,44245.0,42902.0,42859.0,47063.0,50870.0,47752.0,45906.0,43986.0,42101.0,35878.0,32838.0,29440.0,24711.0,20963.0,16391.0,11737.0,14381.0,594023.0,RA,2021,PI
Masculino,46454.0,46299.0,50743.0,55053.0,52556.0,46681.0,44261.0,41844.0,37750.0,33354.0,31276.0,26294.0,21075.0,17486.0,13752.0,9554.0,9754.0,584186.0,RA,2018,PI
Feminino,44355.0,43824.0,47424.0,51953.0,51178.0,47522.0,45477.0,43076.0,38743.0,33595.0,31484.0,27442.0,23389.0,19663.0,15038.0,11171.0,13043.0,588377.0,RA,2018,PI
Masculino,46353.0,45413.0,46033.0,50158.0,52004.0,47060.0,44035.0,42289.0,40420.0,34959.0,32575.0,28671.0,22696.0,18107.0,14383.0,9977.0,10191.0,585324.0,RA,2021,PI
Feminino,44245.0,42902.0,42859.0,47063.0,50870.0,47752.0,45906.0,43986.0,42101.0,35878.0,32838.0,29440.0,24711.0,20963.0,16391.0,11737.0,14381.0,594023.0,RA,2021,PI
Masculino,46023.0,48043.0,56004.0,63247.0,61120.0,55289.0,56039.0,52365.0,45674.0,38270.0,33628.0,27995.0,21892.0,16644.0,11678.0,7411.0,7226.0,648548.0,U,2018,PI
Feminino,43952.0,46749.0,55860.0,62697.0,61106.0,60698.0,64687.0,61877.0,54978.0,47012.0,42796.0,37057.0,30250.0,23500.0,16699.0,11407.0,14161.0,735486.0,U,2018,PI
Masculino,45520.0,46121.0,52738.0,60345.0,63120.0,53879.0,53841.0,52907.0,48877.0,40587.0,34719.0,29610.0,23762.0,18037.0,12930.0,7952.0,7532.0,652477.0,U,2021,PI
